ticker,event_date,event_type,alpha,beta,nearest_earnings_date,days_to_earnings,abs_days_to_earnings,earnings_surprise_pct,pre_earnings,CAR_pre20_pre1,CAR_0_1,CAR_0_5,CAR_0_10,CAR_0_20
MSFT,2024-12-10,S - Sale,-0.000685102350678,0.8716382313401967,2024-10-30 16:00:00,-28,28,6.25,False,0.043061158965052,-0.0051019083545969,-0.0028569884337798,-0.007840343699888,-0.0279017715753054
MSFT,2025-05-06,S - Sale,-0.0005430208047854,0.7426256587478656,2025-04-30 16:00:00,-4,4,7.4,False,0.0897403938006917,-0.0009815640343487,0.004519205660155,-0.0079024786066302,0.0043901928385452
MSFT,2025-05-16,S - Sale,-0.0005559256758343,0.7657266859124597,2025-07-30 16:00:00,9,9,8.09,True,0.084661758704093,-0.000885705669813,0.0106883926774603,0.012044746813562,0.0214501446001642
MSFT,2025-05-20,S - Sale,-0.000696657656674,0.764968372364689,2025-07-30 16:00:00,7,7,8.09,True,0.0930712653917449,0.001333850906195,0.0029662486149372,0.0129499094154109,0.0129499094154109
MSFT,2025-05-22,S - Sale,-0.0007066849206139,0.7656435687020109,2025-07-30 16:00:00,5,5,8.09,True,0.0246954608505189,0.0016572785078085,0.0068338788953328,0.0116673941217073,0.0116673941217073
MU,2024-12-26,S - Sale,-0.0001354896314398,1.7722726319099158,2024-12-18 16:00:00,-5,5,1.36,False,-0.1304079228491675,0.0204330381595291,0.0081612575542503,0.0466026764682685,0.2032581825960392
MU,2025-01-10,S - Sale,-0.0005461281225893,1.7683360424796777,2024-12-18 16:00:00,-14,14,1.36,False,0.1202932756761282,0.0286425733750823,0.0387603115331156,0.0538177963049753,-0.0715033357121336
MU,2025-02-19,S - Sale,-0.0019414304780219,1.7640081590097758,2025-03-20 16:00:00,21,21,9.49,True,0.1775489198351966,-0.0232406044701715,-0.0359668091528024,-0.0039775535032084,0.0996495838196572
MU,2025-03-05,S - Sale,-0.0028049853760482,1.7907703173998,2025-03-20 16:00:00,11,11,9.49,True,0.1677253682347226,0.0067594705343136,0.0495051634213198,0.1815546990227606,0.0854209216031912
MU,2025-03-18,S - Sale,-0.0022023453481752,1.7896130690692045,2025-03-20 16:00:00,2,2,9.49,True,0.2588393408683521,-0.0003491815564802,-0.070507132462426,-0.0811965936576713,-0.1179751711021073
MU,2025-03-27,S - Sale,-0.0018920023945854,1.8109501343041128,2025-03-20 16:00:00,-5,5,9.49,False,0.0836055776530699,0.0219575929644523,0.017153102385613,-0.0710225616309415,-0.0605113171360977
MU,2025-05-06,S - Sale,-0.0022528224169955,1.8194698473485285,2025-06-25 16:00:00,17,17,19.75,True,0.0483096089427481,0.0426059370063848,0.066505813839092,0.0867492713998592,0.0952492176033603
NOW,2024-11-06,S - Sale,0.0005604456618592,1.0020585023590407,2024-10-23 16:00:00,-10,10,7.78,False,0.0446753269032914,-0.0007420573364723,0.0172284767128655,0.0237730127353437,0.0506601290569153
NOW,2024-11-12,S - Sale,0.0006300923819856,1.0038413657290677,2024-10-23 16:00:00,-14,14,7.78,False,,,,,
NOW,2024-11-12,S - Sale+OE,0.0006300923819856,1.0038413657290677,2024-10-23 16:00:00,-14,14,7.78,False,,,,,
NOW,2024-11-14,S - Sale+OE,0.0004749425322239,1.009066404235706,2024-10-23 16:00:00,-16,16,7.78,False,0.0389275923037224,-0.0047365207365099,-0.011537061765961,0.0235079447332986,0.0415953123493948
NOW,2024-11-18,S - Sale,0.0005519488119354,0.9981455544099368,2024-10-23 16:00:00,-18,18,7.78,False,0.0545841691204656,-0.0067755483025576,0.0280477635918179,0.0056295944857008,0.0396652626150212
NOW,2024-11-19,S - Sale+OE,0.000517728653584,0.9977460505866876,2024-10-23 16:00:00,-19,19,7.78,False,0.0423903914138674,0.0072288144430811,0.0406910646754407,0.0173249584058506,0.0548668689589292
NOW,2024-11-21,S - Sale,0.0004744652642047,0.9885803171945372,2024-10-23 16:00:00,-21,21,7.78,False,0.0397536761687628,0.0335668992942953,0.0328089804603788,0.0104774194624813,0.0563120751716147
NOW,2024-11-27,S - Sale,0.0004114043186985,0.9948805356727976,2024-10-23 16:00:00,-25,25,7.78,False,0.05882285730409,-0.0212983870230998,-0.0332113331443078,0.013715347054855,-0.0098639407501106
NOW,2024-12-03,S - Sale,0.0004134590015168,0.9811431367578562,2024-10-23 16:00:00,-28,28,7.78,False,-0.0104538560757551,0.053200182946673,0.0472391728210933,0.0392495418328375,0.0157487128794266
NOW,2025-01-17,S - Sale+OE,0.0010198903468537,0.9905451635047428,2025-01-29 16:00:00,7,7,0.2,True,-0.0152848800420201,-0.0024263837810149,0.0259808299685153,0.0698372370028155,-0.0621310482103939
NOW,2025-02-05,S - Sale,0.0010086152035146,0.9484755730207176,2025-01-29 16:00:00,-5,5,0.2,False,-0.0551112257502866,0.0044331495175531,0.0047552189244266,-0.0488883679651679,-0.0733090232580509
NOW,2025-02-11,S - Sale+OE,0.000831168094994,0.9529773988273134,2025-01-29 16:00:00,-9,9,0.2,False,,,,,
NOW,2025-02-11,S - Sale,0.000831168094994,0.9529773988273134,2025-01-29 16:00:00,-9,9,0.2,False,,,,,
